,year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$,star_rating,director,cast,writer
0,2013,tt1711425,21 &amp; Over,notalk,0,Comedy,R,13000000,5.9,Jon Lucas,0.59999999999999998,0
1,2012,tt1343727,Dredd 3D,ok,1,Action,R,45658735,7.0,Pete Travis,1.0,1.3333333333333333
2,2013,tt2024544,12 Years a Slave,notalk,0,Biography,R,20000000,8.1,Steve McQueen,0.0,0.0
3,2013,tt1272878,2 Guns,notalk,0,Action,R,61000000,6.8,Baltasar Kormákur,1.3999999999999999,0.0
4,2013,tt0453562,42,men,0,Biography,PG13,40000000,7.5,Brian Helgeland,0.59999999999999998,0.0
5,2013,tt1335975,47 Ronin,men,0,Action,PG13,225000000,6.3,Carl Rinsch,1.0,0.75
6,2013,tt1606378,A Good Day to Die Hard,notalk,0,Action,R,92000000,5.3,John Moore,1.3999999999999999,0.0
7,2013,tt2194499,About Time,ok,1,Drama,R,12000000,7.8,Richard Curtis,1.6000000000000001,3.0
8,2013,tt1814621,Admission,ok,1,Comedy,PG13,13000000,5.7,Paul Weitz,1.0,1.0
9,2013,tt1815862,After Earth,notalk,0,Action,PG13,130000000,4.9,M. Night Shyamalan,0.40000000000000002,0
10,2013,tt1800241,American Hustle,ok,1,Crime,R,40000000,7.3,David O. Russell,3.6000000000000001,1.0
11,2013,tt1322269,August: Osage County,ok,1,Drama,R,25000000,7.3,John Wells,4.4000000000000004,2.0
12,2013,tt1559547,Beautiful Creatures,ok,1,Drama,PG13,50000000,6.2,Richard LaGravenese,2.3999999999999999,1.3333333333333333
13,2013,tt2334873,Blue Jasmine,ok,1,Drama,PG13,18000000,7.3,Woody Allen,2.0,5.0
14,2013,tt1535109,Captain Phillips,notalk,0,Biography,PG13,55000000,7.9,Paul Greengrass,2.0,0.0
15,2013,tt1939659,Carrie,ok,1,Drama,R,30000000,6.0,Kimberly Peirce,2.0,1.3333333333333333
16,2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen,0,Animation,PG,78000000,6.5,Cody Cameron,0.80000000000000004,0.25
17,2013,tt1690953,Despicable Me 2,ok,1,Animation,PG,76000000,7.5,Pierre Coffin,2.7999999999999998,2.0
18,2013,tt2229499,Don Jon,dubious,0,Comedy,R,5500000,6.6,Joseph Gordon-Levitt,2.2000000000000002,0.0
19,2013,tt1535108,Elysium,ok,1,Action,R,120000000,6.7,Neill Blomkamp,2.0,1.0
20,2013,tt1731141,Ender&#39;s Game,men,0,Action,PG13,110000000,6.7,Gavin Hood,1.6000000000000001,0.0
21,2013,tt0848537,Epic,ok,1,Animation,PG,100000000,6.7,Chris Wedge,1.0,1.8888888888888888
22,2013,tt0765446,Escape from Planet Earth,ok,1,Animation,PG,40000000,5.9,Cal Brunker,1.8,1.3999999999999999
23,2013,tt1211956,Escape Plan,men,0,Action,R,70000000,6.8,Mikael Håfström,0.59999999999999998,0
24,2013,tt1288558,Evil Dead,ok,1,Horror,R,17000000,6.5,Fede Alvarez,1.3999999999999999,1.0
25,2013,tt1905041,Fast and Furious 6,ok,1,Action,PG13,160000000,7.2,Justin Lin,2.7999999999999998,2.0
26,2013,tt2294629,Frozen,ok,1,Animation,PG,150000000,7.7,Chris Buck,1.3999999999999999,1.6666666666666667
27,2013,tt1583421,G.I. Joe: Retaliation,ok,1,Action,PG13,140000000,5.8,Jon M. Chu,1.0,2.0
28,2013,tt1321870,Gangster Squad,notalk,0,Action,R,60000000,6.8,Ruben Fleischer,0.20000000000000001,0.0
29,2013,tt2425486,Gloria,ok,1,Comedy,R,30000000,6.7,Sebastián Lelio,1.0,1.0
30,2013,tt1454468,Gravity,nowomen,0,Sci-Fi,PG13,110000000,7.9,Alfonso Cuarón,3.0,0.33333333333333331
31,2013,tt2191701,Grown Ups 2,men,0,Comedy,PG13,80000000,5.4,Dennis Dugan,1.8,0.20000000000000001
32,2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,1,Action,R,50000000,6.1,Tommy Wirkola,2.0,1.0
33,2013,tt1798709,Her,men,0,Drama,R,23000000,8.0,Spike Jonze,0.40000000000000002,0.0
34,2013,tt2024432,Identity Thief,men,0,Comedy,R,35000000,5.7,Seth Gordon,0.80000000000000004,0.33333333333333331
35,2013,tt2226417,Insidious: Chapter 2,men,0,Horror,PG13,5000000,6.6,James Wan,1.6000000000000001,0.25
36,2013,tt1300854,Iron Man 3,dubious,0,Action,PG13,200000000,7.3,Shane Black,1.6000000000000001,0.5
37,2013,tt1351685,Jack the Giant Slayer,nowomen,0,Adventure,PG13,195000000,6.3,Bryan Singer,2.0,0.0
38,2013,tt1650554,Kick-Ass 2,ok,1,Action,R,28000000,6.7,Jeff Wadlow,1.6000000000000001,1.0
39,2013,tt1204975,Last Vegas,notalk,0,Comedy,PG13,28000000,6.7,Jon Turteltaub,2.6000000000000001,2.0
40,2013,tt1327773,Lee Daniels&#39; The Butler,ok,1,Biography,PG13,30000000,7.1,Lee Daniels,1.2,1.0
41,2013,tt2002718,Machete Kills,ok,1,Action,R,2000000,5.6,Robert Rodriguez,2.7999999999999998,1.0
42,2013,tt2023587,Mama,ok,1,Horror,PG13,15000000,6.2,Andrés Muschietti,1.0,1.3999999999999999
43,2013,tt0770828,Man of Steel,ok,1,Action,PG13,225000000,7.2,Zack Snyder,2.7999999999999998,1.3999999999999999
44,2013,tt1821549,Nebraska,ok,1,Adventure,R,12000000,7.8,Alexander Payne,1.0,1.0
45,2013,tt1670345,Now You See Me,notalk,0,Crime,PG13,75000000,7.3,Louis Leterrier,1.3999999999999999,0
46,2013,tt1483013,Oblivion,men,0,Action,PG13,120000000,7.0,Joseph Kosinski,1.8,0.66666666666666663
47,2013,tt2302755,Olympus Has Fallen,notalk,0,Action,R,70000000,6.5,Antoine Fuqua,1.0,0.0
48,2013,tt1623205,Oz the Great and Powerful,ok,1,Adventure,PG,200000000,6.4,Sam Raimi,3.2000000000000002,1.5
49,2013,tt1663662,Pacific Rim,notalk,0,Action,PG13,190000000,7.0,Guillermo del Toro,0.59999999999999998,0.0
50,2013,tt1980209,Pain &amp; Gain,notalk,0,Action,R,26000000,6.5,Michael Bay,1.8,1.0
51,2013,tt1904996,Parker,ok,1,Action,R,35000000,6.2,Taylor Hackford,1.3999999999999999,1.5
52,2013,tt1699755,Peeples,dubious,0,Comedy,PG13,15000000,5.2,Tina Gordon Chism,0.20000000000000001,0.0
53,2013,tt1854564,Percy Jackson: Sea of Monsters,ok,1,Adventure,PG,90000000,5.9,Thor Freudenthal,1.0,1.0
54,2013,tt1392214,Prisoners,ok,1,Crime,R,46000000,8.1,Denis Villeneuve,4.2000000000000002,0
55,2013,tt0790736,R.I.P.D.,notalk,0,Action,PG13,130000000,5.6,Robert Schwentke,1.8,0.5
56,2013,tt1821694,Red 2,ok,1,Action,PG13,84000000,6.7,Dean Parisot,3.6000000000000001,1.5
57,2013,tt1411250,Riddick,notalk,0,Action,R,38000000,6.4,David Twohy,0.59999999999999998,1.0
58,2013,tt2364841,Runner Runner,nowomen,0,Crime,R,30000000,5.6,Brad Furman,1.0,0.0
59,2013,tt1979320,Rush,notalk,0,Action,R,38000000,8.2,Ron Howard,0.59999999999999998,1.0
60,2013,tt1702439,Safe Haven,ok,1,Drama,PG13,28000000,6.7,Lasse Hallström,1.2,1.0
61,2013,tt2140373,Saving Mr. Banks,ok,1,Biography,PG13,35000000,7.5,John Lee Hancock,1.2,1.0
62,2013,tt2053463,Side Effects,ok,1,Crime,R,30000000,7.1,Steven Soderbergh,1.2,2.0
63,2013,tt1408101,Star Trek Into Darkness,notalk,0,Action,PG13,190000000,7.8,J.J. Abrams,1.0,1.25
64,2013,tt1572315,Texas Chainsaw 3D,ok,1,Horror,R,20000000,4.8,John Luessenhop,1.2,0
65,2013,tt1931435,The Big Wedding,ok,1,Comedy,R,32500000,5.6,Justin Zackham,2.3999999999999999,1.0
66,2013,tt0816442,The Book Thief,ok,1,Drama,PG13,19000000,7.6,Brian Percival,1.0,2.0
